"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"60","b_indexC:surveyYear_fac2021:targetTypedry_grassland",0.012333417218409,0.0124505578103746,0.0204100132520568,0.0214318471926085,-0.0203902202141992,0.0456170883501994,1.00636708289416,419.013400975032,698.718188015851
"61","b_indexB:surveyYear_fac2021:targetTypedry_grassland",-0.0257140594089733,-0.0252003833334192,0.0211772342581476,0.0214090598313745,-0.0604288350003449,0.0098690959530536,1.00493040924075,473.371447428044,811.620990248423
"62","b_indexC:surveyYear_fac2019:sandRatio25",-0.114511126355533,-0.11425695173277,0.0255612110962954,0.0255908654966625,-0.155834271614596,-0.0728800467803291,1.00828256919041,507.791219911157,833.239636357544
"63","b_indexB:surveyYear_fac2019:sandRatio25",0.0685532409239488,0.0696567430028147,0.0257982912798418,0.026499393830164,0.0273503519221307,0.110348080001773,1.01163358674282,388.13182080297,492.17831333816
"64","b_indexC:surveyYear_fac2020:sandRatio25",-0.108897978753752,-0.107458126231396,0.0263650361067625,0.0266838966969498,-0.150356086763862,-0.0665721480031179,1.00413989406208,468.229378324248,800.583748972743
"65","b_indexB:surveyYear_fac2020:sandRatio25",0.0711270278626709,0.0709958085075898,0.0251887703486201,0.0252277468768592,0.032308278648631,0.113598057818665,1.00983828748243,448.336876384665,653.42627227608
"66","b_indexC:surveyYear_fac2021:sandRatio25",-0.0868302051770235,-0.0872601012662579,0.0253719163834861,0.0250738081812206,-0.127911685697638,-0.0454784773631699,1.00321751400453,503.308324564495,776.445086257514
"67","b_indexB:surveyYear_fac2021:sandRatio25",0.0706231698304492,0.0702493936955068,0.0256792492334111,0.0242384353341268,0.027666690523908,0.113295418302031,1.00738325475389,419.910683797284,837.355850315543
"68","b_indexC:surveyYear_fac2019:sandRatio50",-0.114686127281162,-0.114491740231163,0.02576695217195,0.0252807026345793,-0.157992300786397,-0.0723667626593031,1.00542715459478,410.410162257051,598.068172280173
"69","b_indexB:surveyYear_fac2019:sandRatio50",0.0807408902983553,0.0813140777325828,0.0264675009987349,0.0255749943278223,0.0371306652993394,0.121793725641162,1.0037619017904,404.46808968262,546.36883916717
"70","b_indexC:surveyYear_fac2020:sandRatio50",-0.0945568149400524,-0.0957913620639416,0.0253473866098316,0.0256398136451178,-0.135381501502641,-0.0517808999771307,1.00070850703008,535.786272900649,751.24894807166
