name,seeded,target,sum
Saxifraga_granulata,NA,1,1
Scabiosa_columbaria,1,1,57
Securigera_varia,NA,NA,514
Sedum_acre,1,1,82
Sedum_maximum,NA,NA,1
Sedum_sexangulare,NA,NA,3
Setaria_pumila,NA,NA,82
Setaria_spec,NA,NA,16
Setaria_verticillata,NA,NA,1
Setaria_viridis,NA,NA,8
Silaum_silaus,1,1,41
Silene_dioica,NA,NA,2
Silene_flos-cuculi,1,1,39
Silene_latifolia_ssp_alba,1,1,143
Silene_vulgaris,1,1,794
Sisymbrium_officinale,NA,NA,1
Solidago_gigantea,NA,NA,4
Sonchus_arvensis,NA,NA,16
Sonchus_asper,NA,NA,133
Sonchus_oleraceus,NA,NA,9
Stachys_palustris,NA,NA,13
Stachys_sylvatica,NA,NA,4
Stellaria_graminea,NA,1,99
Stellaria_media,NA,NA,21
Symphytum_officinale,NA,NA,139
Taraxacum_campylodes,NA,NA,190
Thalictrum_minus,NA,1,1
Thlaspi_arvense,NA,NA,67
Thymus_praecox,1,1,102
Tragopogon_pratensis,1,1,111
Trifolium_arvense,NA,1,1
Trifolium_campestre,NA,1,16
Trifolium_dubium,NA,1,19
Trifolium_hybridum,NA,NA,5
Trifolium_medium,NA,NA,1
Trifolium_montanum,1,1,64
Trifolium_pratense,1,1,311
Trifolium_repens,NA,NA,17
Tripleurospermum_maritimum,NA,NA,1
Trisetum_flavescens,1,1,306
Triticum_spec,NA,NA,5
Ulmus_laevis,NA,NA,2
Urtica_dioica,NA,NA,7
Valeriana_officinalis,NA,1,5
Valerianella_spec,NA,NA,18
Verbascum_densiflorum,NA,NA,11
Verbascum_lychnitis,1,1,276
Verbascum_spec,NA,NA,5
Verbascum_thapsus,NA,NA,13
Veronica_arvensis,NA,1,37
Veronica_chamaedrys,1,1,106
Veronica_persica,NA,NA,2
Veronica_serpyllifolia,NA,1,2
Veronica_spec,NA,NA,2
Vicia_cracca,1,1,213
Vicia_hirsuta,NA,NA,2
Vicia_sativa_ssp_nigra,NA,1,19
Vicia_sepium,NA,1,32
Vicia_tetrasperma,NA,NA,1
Viola_arvensis,NA,NA,6
Vulpia_myuros,NA,NA,14
