Species_name	woody	annual	perennialnonclonal	monocarpic	polycarpic	clonal	branching	cyclicity	Primaryroot	BB0	BB0_mn10	BB_gtmn10	BB0R	BB0_mn10R	BB_gtmn10R	BBsize	BBdepth	BBRsize	BBRdepth	finalCGO	persistence	offspring	offspring_wsmall	spread	clonalindex	dispersibility	Rsprouter	PositionRB	RoleRB
"""Alopecurus rendlei Eig"""	0	1	0	0	0	0		1	0	5	0	0	5	0	0	5	1	5	1								0		
"""Alopecurus vaginatus (Willd.) Pall. ex Kunth"""	0	0	0	0	0	1			0	5	5	0	5	5	0	10	3	10	3	9	4	6	6	0.5	4	0	0		
"""Althaea hirsuta L."""	0	1	0	0	0	0		1	1	5	0	0	5	0	0	5	1	5	1								0		
"""Althaea officinalis L."""	0	0	0	0	0	1	symp	1	0	5	15	0	5	15	0	20	4	20	4	10	4	1	1	13	4	0	0		
"""Alyssum alyssoides (L.) L."""	0	1	0	0	0	0		1	1	5	0	0	5	0	0	5	1	5	1								0		
"""Alyssum montanum L."""	0	0	1	0	1	0	symp	2	1	10	2.5	0	10	2.5	0	12.5	1.8	12.5	1.8								0		
"""Amaranthus albus L."""	0	1	0	0	0	0		1	1	0	0	0	0	0	0	0		0									0		
"""Amaranthus blitoides S. Watson"""	0	1	0	0	0	0		1	1	5	0	0	5	0	0	5	1	5	1								0		
"""Amaranthus blitum L."""	0	1	0	0	0	0		1	1	5	0	0	5	0	0	5	1	5	1								0		
"""Amaranthus bouchonii Thell."""	0	1	0	0	0	0		1	1	0	0	0	0	0	0	0		0									0		
"""Amaranthus caudatus L."""	0	1	0	0	0	0		1	1	0	0	0	0	0	0	0		0									0		
"""Amaranthus crispus (Lesp. et Thévenau) N. Terracc."""	0	1	0	0	0	0		1	1	5	0	0	5	0	0	5	1	5	1								0		
"""Amaranthus deflexus L."""	0	1	0	0	0	0		1	1	5	0	0	5	0	0	5	1	5	1								0		
"""Amaranthus graecizans L."""	0	1	0	0	0	0		1	1	0	0	0	0	0	0	0		0									0		
"""Amaranthus hybridus L."""	0	1	0	0	0	0		1	1	0	0	0	0	0	0	0		0									0		
"""Amaranthus retroflexus L."""	0	1	0	0	0	0		1	1	0	0	0	0	0	0	0		0									0		
"""Ambrosia artemisiifolia L."""	0	1	0	0	0	0		1	1	2.5	0	0	2.5	0	0	2.5	1	2.5	1								0		
"""Ambrosia psilostachya DC."""	0	0	0	0	0	1	symp	1	0	5	10	0	5	17.5	15	15	3.7	37.5	8.5	15	4	3.5	3.5	13	5	0	1	3	F
"""Ambrosia trifida L."""	0	1	0	0	0	0		1	1	5	0	0	5	0	0	5	1	5	1								0		
"""Amelanchier ovalis Medik."""	1	0	0	0	0	0				0	5	5	0	20	20	10	10	40	10								1	3	R
"""Ammi majus L."""	0	1	0	0	0	0		1	1	5	0	0	5	0	0	5	1	5	1								0		
"""Ammophila arenaria (L.) Link"""	0	0	0	0	0	1	symp	2	0	5	13	12	5	13	12	30	8.3	30	8.3	10	4	3.5	3.5	21	6	0	0		
"""Anacamptis pyramidalis (L.) Rich."""	0	0	0	0	0	1	symp	1	0	2.5	5	0	2.5	5	0	7.5	3.7	7.5	3.7	16	1	1	1	0.5	3	0	0		
"""Anagallis arvensis L."""	0	1	0	0	0	0		1	1	4	0	0	9	0	0	4	1	9	1								1	2	F
"""Anagallis foemina Mill."""	0	1	0	0	0	0		1	1	5	0	0	5	0	0	5	1	5	1								1	1	F
"""Anagallis tenella (L.) L."""	0	0	0	0	0	1	monop	1	0	15	0	0	15	0	0	15	1	15	1	1	1.5	3.5	3.5	13	5	0	0		
"""Anarrhinum bellidifolium (L.) Willd."""	0	0	1	1	0	0		2	1	5	5	0	5	5	0	10	3	10	3								0		
"""Anchusa officinalis L."""	0	0	1	1	0	0		2	1	5	11.7	0	5	15.4	15	16.7	3.8	35.4	8.7								1	2	R
"""Andromeda polifolia L."""	0	0	0	0	0	1	symp	2	0	5	15	0	5	15	0	20	4	20	4	10	4	3.5	3.5	13	5	0	0		
"""Androsace alpina (L.) Lam."""	0	0	1	0	1	0	monop	1	1	11	6	0	11	6	0	17	2.4	17	2.4								0		
"""Androsace chamaejasme Wulfen"""	0	0	0	0	0	1	symp	2	0	15	11.3	0	15	11.3	0	26.3	2.7	26.3	2.7	1	4	4.6	4.6	13	5	0	0		
"""Androsace elongata L."""	0	1	0	0	0	0		1	1	5	0	0	5	0	0	5	1	5	1								0		
"""Androsace hausmannii Leyb."""	0	0	1	0	1	0	monop	1	1	15	0	0	15	0	0	15	1	15	1								0		
"""Androsace helvetica (L.) All."""	0	0	1	0	1	0	monop	1	1	15	7.5	0	15	7.5	0	22.5	2.3	22.5	2.3								0		
"""Androsace lactea L."""	0	0	0	0	0	1	monop	1	0	10	10	0	10	10	0	20	3	20	3	1	4	6	6	13	5	0	0		
"""Androsace maxima L."""	0	0	1	0	1	0		1	1	5	0	0	5	0	0	5	1	5	1								0		
"""Androsace obtusifolia All."""	0	0	1	0	1	0	monop	1	1	5	15	0	5	15	0	20	4	20	4								0		
"""Androsace septentrionalis L."""	0	1	0	0	0	0		1	1	5	0	0	5	0	0	5	1	5	1								0		
"""Androsace villosa L."""	0	0	0	0	0	1	symp	2	0	15	15	0	15	15	0	30	3	30	3	1	4	6	6	0.5	4	0	0		
"""Anemonastrum narcissiflorum (L.) Holub"""	0	0	0	0	0	1	symp	2	0	5	15	0	5	15	0	20	4	20	4	9	4	1	1	0.5	3	0	0		
"""Anemone baldensis L."""	0	0	1	0	1	0	symp	2	1	5	11.7	10	5	11.7	10	26.7	8	26.7	8								0		
"""Anemone dichotoma L."""	0	0	0	0	0	1	symp	1	0	0	5	0	0	12.5	15	5	5	27.5	10.5	15	4	6	6	13	5	0	1	3	O
"""Anemone nemorosa L."""	0	0	0	0	0	1	symp	1	0	0	15	0	0	15	0	15	5	15	5	10	4	1.8	1.8	13	4	0	0		
"""Anemone ranunculoides L."""	0	0	0	0	0	1	symp	1	0	0	15	0	0	15	0	15	5	15	5	10	4	1	1	13	4	0	0		
"""Anemone sylvestris L."""	0	0	0	0	0	1	symp	2	0	5	12.5	0	5	20.8	15	17.5	3.9	40.8	8.2	15	4	2.7	2.7	4.7	3	0	1	3	F
"""Anemone trifolia L."""	0	0	0	0	0	1	symp	1	0	0	15	0	0	15	0	15	5	15	5	10	4	1	1	13	4	0	0		
"""Anethum graveolens L."""	0	1	0	0	0	0		1	1	5	0	0	5	0	0	5	1	5	1								0		
"""Angelica archangelica L."""	0	0	1	1	0	0		2	1	5	15	0	5	15	0	20	4	20	4								0		
"""Angelica palustris (Besser) Hoffm."""	0	0	1	1	0	0		2	1	5	15	0	5	15	0	20	4	20	4								0		
"""Angelica sylvestris L."""	0	0	1	1	0	0		2	1	5	11.7	0	5	11.7	0	16.7	3.8	16.7	3.8								0		
