name,nomenclature,synonym,family,group,legal,rlg,rlb,neophyte,l,t,k,f,fchange,r,n,biotopeTarget,ffh6510,ffh6210,specialTarget,seedAvailability,seeded
Equisetum_arvense,http://www.worldfloraonline.org/taxon/wfo-0001108914,NA,Equisetaceae,herb,no,no,no,no,6,NA,NA,6,chwet,NA,3,no,no,no,NA,NA,no
Eragrostis_minor,http://www.worldfloraonline.org/taxon/wfo-0000868064,NA,Poaceae,grass,no,no,no,yes,8,7,5,3,no,NA,4,no,no,no,NA,NA,no
Erigeron_annuus,http://www.worldfloraonline.org/taxon/wfo-0000069875,NA,Asteraceae,herb,no,no,no,yes,7,6,NA,6,no,NA,8,no,no,no,NA,NA,no
Erigeron_canadensis,http://www.worldfloraonline.org/taxon/wfo-0000015917,Conyza_canadensis,Asteraceae,herb,no,no,no,yes,8,6,NA,4,no,NA,5,no,no,no,NA,NA,no
Erophila_verna,http://www.worldfloraonline.org/taxon/wfo-0000677261,Draba_verna,Brassicaceae,herb,BG,no,no,no,8,6,3,NA,no,NA,2,no,no,no,NA,NA,no
Erysimum_cheiranthoides,http://www.worldfloraonline.org/taxon/wfo-0000678580#localNames,NA,Brassicaceae,herb,no,no,no,no,7,5,NA,5,no,7,7,no,no,no,NA,NA,no
Euonymus_europaeus,http://www.worldfloraonline.org/taxon/wfo-0000681728,NA,Celastraceae,shrub,no,no,no,no,6,5,3,5,no,8,5,no,no,no,NA,NA,no
Euphorbia_amygdaloides,http://www.worldfloraonline.org/taxon/wfo-0000960650,NA,Euphorbiaceae,herb,no,no,no,no,4,5,3,5,no,8,5,no,no,no,NA,NA,no
Euphorbia_cyparissias,http://www.worldfloraonline.org/taxon/wfo-0000961626,NA,Euphorbiaceae,herb,no,no,no,no,8,NA,4,3,no,NA,3,no,no,no,NA,NA,no
Euphorbia_esula,http://www.worldfloraonline.org/taxon/wfo-0000961974,NA,Euphorbiaceae,herb,no,no,3,no,8,6,5,4,no,8,NA,no,no,no,NA,NA,no
Euphorbia_helioscopia,http://www.worldfloraonline.org/taxon/wfo-0000962471,NA,Euphorbiaceae,herb,no,no,no,no,6,NA,3,5,no,7,7,no,no,no,NA,NA,no
Euphorbia_verrucosa,http://www.worldfloraonline.org/taxon/wfo-0000965311,NA,Euphorbiaceae,herb,no,V,no,no,8,6,2,3,no,9,3,yes,no,yes,NA,no,no
Falcaria_vulgaris,http://www.worldfloraonline.org/taxon/wfo-0000685760,NA,Apiaceae,herb,no,no,no,no,7,7,6,3,no,9,NA,yes,no,no,NA,no,no
Fallopia_convolvulus,http://www.worldfloraonline.org/taxon/wfo-0000685786,NA,Polygonaceae,herb,no,no,no,no,7,6,NA,5,no,NA,6,no,no,no,NA,NA,no
Festuca_arundinacea,http://www.worldfloraonline.org/taxon/wfo-0000869819,NA,Poaceae,top-grass,no,no,no,no,8,5,NA,7,chwet,7,4,no,no,no,NA,NA,no
Festuca_ovina,http://www.worldfloraonline.org/taxon/wfo-0000871222,NA,Poaceae,sub-grass,no,no,no,no,9,7,4,2,no,NA,1,yes,no,yes,NA,yes,yes
