id,plot,site,latitude,longitude,elevation,plot_size,exposition,orientation,sand_ratio,substrate_depth,target_type,seed_density,survey_year,vegetation_cover,botanist,biomass,survey_date,graminoid_cover,herb_cover,accumulated_cover,target_cover,seeded_cover,target_cover_ratio,graminoid_cover_ratio,seeded_cover_ratio,species_richness,rlg_richness,rlb_richness,target_richness,seeded_richness,ffh6510_richness,ffh6210_richness,fcs_target,fcs_seeded,shannon,evenness,esy,fdis_abu_lhs,cwm_abu_sla,cwm_abu_seedmass,cwm_abu_height
L1_22_2020,L1_22,1,4883856,1287752,314,4,south,land,50,30,dry_grassland,8,2020,70,Jakob Huber,NA,2020-06-13,16,59.5,75.5,51.5,11.5,0.682,0.212,0.152,14,0,0,7,4,1,3,0,-0.788,1.985,0.752,V37,0.953,21.006,2.566,0.267
L1_22_2021,L1_22,1,4883856,1287752,314,4,south,land,50,30,dry_grassland,8,2021,90,Markus Bauer,NA,2021-07-05,17,89,106,16,4.5,0.151,0.16,0.042,19,0,0,9,3,4,2,-0.095,-1.447,2.049,0.696,V37,1.494,23.581,3.48,0.341
L1_22_seeded,L1_22,1,4883856,1287752,314,4,south,land,50,30,dry_grassland,8,seeded,NA,NA,NA,2018-04-27,60.199999999999996,39.8,100,100,NA,1,0.602,NA,20,3,0,20,NA,3,8,3.045,NA,2.848,0.951,R1A,1.021,20.869,0.919,0.277
L1_23_2018,L1_23,1,4883856,1287752,314,4,south,land,50,30,hay_meadow,4,2018,60,Jakob Huber,NA,2018-07-21,1,60.5,61.5,0,0,0,0.016,0,5,0,0,0,0,0,0,-1.792,-1.792,0.581,0.361,V37,0.716,18.626,0.941,0.469
L1_23_2019,L1_23,1,4883856,1287752,314,4,south,land,50,30,hay_meadow,4,2019,60,Linda Weggler,NA,2019-06-21,1,57.5,58.5,7.5,2,0.128,0.017,0.034,8,0,0,3,1,1,0,-0.405,-1.386,1.267,0.609,V15,1.024,23.931,4.968,0.295
L1_23_2020,L1_23,1,4883856,1287752,314,4,south,land,50,30,hay_meadow,4,2020,75,Jakob Huber,NA,2020-06-13,28,47,75,20.5,0.5,0.273,0.373,0.007,16,0,1,6,1,4,0,-0.452,-2.079,2.011,0.725,V15,1.422,25.85,1.184,0.321
L1_23_2021,L1_23,1,4883856,1287752,314,4,south,land,50,30,hay_meadow,4,2021,90,Markus Bauer,NA,2021-07-05,33,61.5,94.5,21.5,1,0.228,0.349,0.011,15,1,1,8,2,2,1,0.118,-1.54,2.06,0.761,V37,1.117,21.923,4.724,0.433
L1_23_seeded,L1_23,1,4883856,1287752,314,4,south,land,50,30,hay_meadow,4,seeded,NA,NA,NA,2018-04-27,60.199999999999996,39.8,100,100,NA,1,0.602,NA,20,1,0,20,NA,11,1,3.045,NA,2.848,0.951,R22,1.06,23.976,0.656,0.382
L1_24_2018,L1_24,1,4883856,1287752,314,4,south,land,50,30,dry_grassland,4,2018,60,Jakob Huber,NA,2018-07-21,2.5,62,64.5,0.5,0.5,0.008,0.039,0.008,8,0,0,1,1,0,0,-1.386,-1.386,0.782,0.376,V37,0.774,18.912,0.964,0.463
L1_24_2019,L1_24,1,4883856,1287752,314,4,south,land,50,30,dry_grassland,4,2019,80,Linda Weggler,NA,2019-06-21,1,79.5,80.5,64,60.5,0.795,0.012,0.752,9,0,0,4,2,1,0,-0.182,-0.981,0.931,0.424,V38,0.633,16.091,2.806,0.461
