name,abb,family,group,rlg,rlb,neophyte,t,f,r,n,ffh6510,ffh6210,biotope_target,table_31,table_34,table_35,table_36,mapped_2011,special_target,seed_availability,seeded_hay_meadow,seeded_dry_grassland,target,seeded,rate_2018,rate_2019,rate_2020,rate_2021,total_seeded_2018,total_established_2018,total_established_2019,total_established_2020,total_established_2021,sla,seedmass,height
Erysimum_cheiranthoides,Eryschei,Brassicaceae,herb,no,no,no,5,5,7,7,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.138,1.02,0.25
Euonymus_europaeus,Euoneuro,Celastraceae,shrub,no,no,no,5,5,8,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.7,49.17,3.125
Euphorbia_amygdaloides,Euphamyg,Euphorbiaceae,herb,no,no,no,5,5,8,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.04,4.15,0.375
Euphorbia_cyparissias,Euphcypa,Euphorbiaceae,herb,no,no,no,NA,3,NA,3,0,0,0,NA,4,NA,1,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.57,1.91,0.2
Euphorbia_esula,Euphesul,Euphorbiaceae,herb,no,3,no,6,4,8,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.975,3.37,0.425
Euphorbia_helioscopia,Euphheli,Euphorbiaceae,herb,no,no,no,NA,5,7,7,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.65,2.76,0.2
Euphorbia_verrucosa,Euphverr,Euphorbiaceae,herb,V,no,no,6,3,9,3,0,1,1,NA,NA,3,NA,NA,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.66,2.456,0.4
Fallopia_convolvulus,Fallconv,Polygonaceae,herb,no,no,no,6,5,NA,6,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.15,3.63,0.713
Festuca_arundinacea,Festarun,Poaceae,top-grass,no,no,no,5,7,7,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.1,2.152,0.6
Festuca_ovina,Festovin,Poaceae,sub-grass,no,no,no,7,2,NA,1,0,1,1,NA,3,NA,NA,NA,NA,1,0,1,1,1,0,0.36,0.34,0.22,73,0,26,25,16,14.13,0.38,0.152
