name,abb,family,group,rlg,rlb,neophyte,t,f,r,n,ffh6510,ffh6210,biotope_target,table_31,table_34,table_35,table_36,mapped_2011,special_target,seed_availability,seeded_hay_meadow,seeded_dry_grassland,target,seeded,rate_2018,rate_2019,rate_2020,rate_2021,total_seeded_2018,total_established_2018,total_established_2019,total_established_2020,total_established_2021,sla,seedmass,height
Festuca_pratensis,Festprat,Poaceae,top-grass,no,no,no,NA,6,NA,6,1,0,1,NA,NA,NA,NA,1,NA,1,1,1,1,1,0,0.44,0.46,0.35,130,0,57,60,45,22.345,2.086,0.55
Festuca_rubra,Festrubr,Poaceae,sub-grass,no,no,no,NA,6,6,NA,1,0,1,NA,4,NA,NA,NA,NA,1,1,1,1,1,0.01,0.4,0.36,0.29,159,2,64,58,46,17.09,0.79,0.45
Filipendula_ulmaria,Filiulma,Rosaceae,herb,no,no,no,5,8,NA,4,0,0,0,3,NA,NA,1,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.1,0.706,0.875
Filipendula_vulgaris,Filivulg,Rosaceae,herb,3,3,no,6,3,8,2,0,1,1,NA,NA,3,1,NA,NA,1,0,1,1,1,0,0.06,0.06,0.19,36,0,2,2,7,17.888,0.771,0.35
Fragaria_vesca,Fragvesc,Rosaceae,herb,no,no,no,NA,5,NA,6,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.7,0.318,0.1
Fragaria_viridis,Fragviri,Rosaceae,herb,no,no,no,5,3,8,3,0,0,0,NA,3,NA,1,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.51,0.375,0.062
Fumaria_officinalis,Fumaoffi,Papaveraceae,herb,no,no,no,6,5,6,7,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.4,3.1,0.6
Galeopsis_tetrahit,Galetetr,Lamiaceae,herb,no,no,no,NA,5,NA,6,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.98,4.6,0.4
Galium_aparine,Galiapar,Rubiaceae,herb,no,no,no,6,NA,6,8,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.15,9.54,0.675
Galium_mollugo,Galimoll,Rubiaceae,herb,D,no,no,6,4,7,NA,1,0,1,NA,NA,NA,1,NA,NA,1,1,0,1,1,0.4,0.43,0.51,0.54,35,14,15,18,19,26.7,0.709,0.5
Galium_palustre,Galipalu,Rubiaceae,herb,no,no,no,5,9,NA,4,0,0,0,3,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.3,0.909,0.45
