id,reference,exposition,target_type,group_type,NMDS1,NMDS2,mean1,mean2
L2_04_seeded,seeded,south,dry_grassland,seeded,0.9559027214134238,0.5178629297621362,0.5377147617840167,-0.09756544043457768
L2_05_2018,2018,south,hay_meadow,2018,-0.9465152863866665,0.0674991355267172,-0.11340211503171282,-0.11907083492843955
L2_05_2019,2019,south,hay_meadow,2019,-0.31078919615011014,0.08015300706976472,-0.5579864812065191,-0.11310545854624686
L2_05_2020,2020,south,hay_meadow,2020,-0.1822891056461847,0.20782885490661077,-0.11173635142972259,0.11953103169259205
L2_05_2021,2021,south,hay_meadow,2021,-0.2711792801663218,0.32429954508349834,-0.02236579753931777,0.1905167811556726
L2_05_seeded,seeded,south,hay_meadow,seeded,0.8263876757146027,-0.4911562618027996,0.5377147617840167,-0.09756544043457768
L2_06_2018,2018,south,dry_grassland,2018,-1.032086919096188,0.037234785166476735,-0.11340211503171282,-0.11907083492843955
L2_06_2019,2019,south,dry_grassland,2019,-0.32090170286349395,0.07978002519427543,-0.5579864812065191,-0.11310545854624686
L2_06_2020,2020,south,dry_grassland,2020,-0.007292559145093885,0.4318869122994419,-0.11173635142972259,0.11953103169259205
L2_06_2021,2021,south,dry_grassland,2021,0.0922216225458861,0.556342338193045,-0.02236579753931777,0.1905167811556726
L2_06_seeded,seeded,south,dry_grassland,seeded,0.7502786985110553,0.5948207776351299,0.5377147617840167,-0.09756544043457768
L2_07_2018,2018,south,dry_grassland,2018,-0.8460127782769347,0.04717929971778973,-0.11340211503171282,-0.11907083492843955
L2_07_2019,2019,south,dry_grassland,2019,-0.6656139133033304,0.33162680303289255,-0.5579864812065191,-0.11310545854624686
L2_07_2020,2020,south,dry_grassland,2020,-0.29448643209076675,0.5661926247039791,-0.11173635142972259,0.11953103169259205
L2_07_2021,2021,south,dry_grassland,2021,-0.33353316383874304,0.4672183776721442,-0.02236579753931777,0.1905167811556726
L2_07_seeded,seeded,south,dry_grassland,seeded,1.0999259097547094,0.2700470029087622,0.5377147617840167,-0.09756544043457768
L2_08_2018,2018,south,hay_meadow,2018,-1.1542975929338333,-0.3396249465034313,-0.11340211503171282,-0.11907083492843955
L2_08_2019,2019,south,hay_meadow,2019,-0.49280527778749394,0.06428740232091304,-0.5579864812065191,-0.11310545854624686
L2_08_2020,2020,south,hay_meadow,2020,-0.2969254591888875,0.2994283622886194,-0.11173635142972259,0.11953103169259205
L2_08_2021,2021,south,hay_meadow,2021,-0.16928642759426665,0.4821864075065151,-0.02236579753931777,0.1905167811556726
L2_08_seeded,seeded,south,hay_meadow,seeded,0.7597414806477218,-0.5686792776434386,0.5377147617840167,-0.09756544043457768
L2_09_2018,2018,south,dry_grassland,2018,-1.0546152629224077,-0.2710800004904907,-0.11340211503171282,-0.11907083492843955
L2_09_2019,2019,south,dry_grassland,2019,-0.44907436636439196,0.12934314824277024,-0.5579864812065191,-0.11310545854624686
L2_09_2020,2020,south,dry_grassland,2020,-0.18650124957752956,0.28336420266682955,-0.11173635142972259,0.11953103169259205
L2_09_2021,2021,south,dry_grassland,2021,-0.07556792273878259,0.3710884033613392,-0.02236579753931777,0.1905167811556726
L2_09_seeded,seeded,south,dry_grassland,seeded,1.0873143314485876,0.32654984328339703,0.5377147617840167,-0.09756544043457768
L2_10_2018,2018,south,dry_grassland,2018,-1.1635034181002437,-0.4653210662549269,-0.11340211503171282,-0.11907083492843955
L2_10_2019,2019,south,dry_grassland,2019,-0.5847774486236166,0.24070860107329178,-0.5579864812065191,-0.11310545854624686
L2_10_2020,2020,south,dry_grassland,2020,-0.1419301836996991,0.3511902790953594,-0.11173635142972259,0.11953103169259205
