plot,block,idTreatment,plotSize,exposition,side,substrateType,sandRatio,substrateDepth,seedmixType,targetType,seedDensity,surveyYear,vegetationCov,botanist,bioMass,id,conf.low,conf.high,cwmAbuN,cwmAbuF,cwmAbuT,fdisAbuLHS,fdisAbuSla,cwmAbuSla,fdisAbuSeedmass,cwmAbuSeedmass,fdisAbuHeight,cwmAbuHeight,fdisAbuSrl,cwmAbuSrl,fdisAbuRmf,cwmAbuRmf,fdisAbuAll
L1_21,1,L_162,4,south,land,6,50,30,2,hay_meadow,8,2018,30,Jakob Huber,NA,L1_21_2018,81,81,4.821,4.771,5.973,1.43,0.302,28.288,1.119,0.738,0.71,0.299,0.881,271.585,0.486,0.39,1.13
L1_21,1,L_162,4,south,land,6,50,30,2,hay_meadow,8,2019,60,Linda Weggler,NA,L1_21_2019,82,82,4.577,4.005,5.969,1.525,0.259,23.312,1.286,1.851,0.51,0.231,1.477,84.764,0.51,0.296,1.63
L1_21,1,L_162,4,south,land,6,50,30,2,hay_meadow,8,2020,70,Jakob Huber,NA,L1_21_2020,83,83,6.932,4.078,6,1.072,0.336,19.553,0.798,1.413,0.62,0.412,0.885,99.052,0.507,0.213,1.158
L1_21,1,L_162,4,south,land,6,50,30,2,hay_meadow,8,2021,90,Markus Bauer,NA,L1_21_2021,84,84,5.596,4.02,5.986,1.207,0.367,20.965,0.881,2.2,0.698,0.332,1.1,88.61,0.607,0.256,1.335
L1_22,1,L_164,4,south,land,6,50,30,4,dry_grassland,8,2018,65,Jakob Huber,NA,L1_22_2018,85,85,4.853,4.485,6,1.435,0.337,27.259,1.186,0.724,0.553,0.3,1.447,97.812,0.428,0.366,0.941
L1_22,1,L_164,4,south,land,6,50,30,4,dry_grassland,8,2019,60,Linda Weggler,NA,L1_22_2019,86,86,4.489,3.975,6.02,1.449,0.255,23.505,1.217,2.452,0.506,0.234,1.432,75.91,0.434,0.293,1.493
L1_22,1,L_164,4,south,land,6,50,30,4,dry_grassland,8,2020,70,Jakob Huber,NA,L1_22_2020,87,87,6.8,4.073,5.992,0.163,0.044,25.583,0.065,9.977,0.137,0.21,0.051,32.052,0.023,0.312,0.117
L1_22,1,L_164,4,south,land,6,50,30,4,dry_grassland,8,2021,90,Markus Bauer,NA,L1_22_2021,88,88,3.012,4.091,5.949,1.019,0.341,21.973,0.801,2.54,0.372,0.266,1.342,105.292,0.173,0.308,1.047
L1_23,1,L_161,4,south,land,6,50,30,1,hay_meadow,4,2018,60,Jakob Huber,NA,L1_23_2018,89,89,3.631,4.115,5.986,1.099,0.262,24.473,0.827,2.877,0.494,0.233,1.539,99.645,0.454,0.355,1.133
L1_23,1,L_161,4,south,land,6,50,30,1,hay_meadow,4,2019,60,Linda Weggler,NA,L1_23_2019,90,90,4.438,4.124,6.009,1.265,0.241,23.875,0.934,3.184,0.65,0.291,1.157,66.009,0.43,0.338,1.262
L1_23,1,L_161,4,south,land,6,50,30,1,hay_meadow,4,2020,75,Jakob Huber,NA,L1_23_2020,91,91,6.64,4,6,0.766,0.245,23.879,0.553,6.14,0.454,0.243,0.648,42.936,0.321,0.287,0.808
L1_23,1,L_161,4,south,land,6,50,30,1,hay_meadow,4,2021,90,Markus Bauer,NA,L1_23_2021,92,92,3.204,4.044,6.023,1.06,0.324,21.913,0.856,2.964,0.386,0.262,1.316,92.405,0.198,0.309,1.041
L1_24,1,L_163,4,south,land,6,50,30,3,dry_grassland,4,2018,60,Jakob Huber,NA,L1_24_2018,93,93,4.471,4.008,6,0.791,0.131,24.932,0.6,5.616,0.418,0.234,0.732,45.092,0.235,0.328,0.782
L1_24,1,L_163,4,south,land,6,50,30,3,dry_grassland,4,2019,80,Linda Weggler,NA,L1_24_2019,94,94,3.783,3.697,5.992,1.399,0.323,22.851,1.095,1.374,0.58,0.239,1.651,107.832,0.533,0.271,1.546
L1_24,1,L_163,4,south,land,6,50,30,3,dry_grassland,4,2020,85,Jakob Huber,NA,L1_24_2020,95,95,7.333,4.01,6,0.158,0.018,25.713,0.09,9.687,0.126,0.209,0.061,32.179,0.033,0.312,0.159
L1_24,1,L_163,4,south,land,6,50,30,3,dry_grassland,4,2021,90,Markus Bauer,NA,L1_24_2021,96,96,3.033,4.091,5.986,1.157,0.305,23.389,0.695,2.494,0.709,0.316,1.319,82.575,0.225,0.3,1.149
L2_01,2,L_212,4,south,land,1,0,15,2,hay_meadow,8,2018,45,Jakob Huber,NA,L2_01_2018,97,97,2.568,3.888,6.025,1.187,0.299,23.748,0.764,3.47,0.744,0.299,0.89,49.265,0.182,0.315,1.067
L2_01,2,L_212,4,south,land,1,0,15,2,hay_meadow,8,2019,60,Linda Weggler,NA,L2_01_2019,98,98,3.346,3.768,6,1.45,0.46,22.315,0.92,1.598,0.895,0.45,0.69,44.525,0.304,0.311,1.251
L2_01,2,L_212,4,south,land,1,0,15,2,hay_meadow,8,2020,50,Jakob Huber,NA,L2_01_2020,99,99,7,4,6,0.049,0.016,25.698,0.037,10.123,0.029,0.202,0.041,31.924,0.023,0.311,0.054
L2_01,2,L_212,4,south,land,1,0,15,2,hay_meadow,8,2021,50,Markus Bauer,NA,L2_01_2021,100,100,2.529,4.017,5.957,0.628,0.173,19.804,0.497,1.358,0.275,0.275,0.614,197.478,0.197,0.33,0.589
L2_02,2,L_214,4,south,land,1,0,15,4,dry_grassland,8,2018,55,Jakob Huber,NA,L2_02_2018,101,101,2.61,3.888,5.97,1.112,0.378,20.879,0.85,1.662,0.507,0.279,1.295,115.969,0.199,0.335,0.953
L2_02,2,L_214,4,south,land,1,0,15,4,dry_grassland,8,2019,60,Linda Weggler,NA,L2_02_2019,102,102,4.152,4.068,5.977,1.664,0.349,21.805,1.214,3.019,0.987,0.374,1.433,84.914,0.416,0.307,1.383
L2_02,2,L_214,4,south,land,1,0,15,4,dry_grassland,8,2020,55,Jakob Huber,NA,L2_02_2020,103,103,7,4.087,6.263,0.816,0.323,19.383,0.545,0.99,0.448,0.461,0.587,125.414,0.487,0.209,0.907
L2_02,2,L_214,4,south,land,1,0,15,4,dry_grassland,8,2021,50,Markus Bauer,NA,L2_02_2021,104,104,2.747,4.017,6,0.651,0.208,19.883,0.501,1.321,0.277,0.273,0.806,174.819,0.22,0.313,0.703
L2_03,2,L_211,4,south,land,1,0,15,1,hay_meadow,4,2018,65,Jakob Huber,NA,L2_03_2018,105,105,2.933,4.02,6,0.851,0.268,18.603,0.528,1.572,0.532,0.319,0.877,172.644,0.166,0.335,0.669
L2_03,2,L_211,4,south,land,1,0,15,1,hay_meadow,4,2019,60,Linda Weggler,NA,L2_03_2019,106,106,4.512,4.173,5.936,1.624,0.262,22.402,1.319,1.036,0.767,0.355,1.096,118.308,0.631,0.349,1.584
L2_03,2,L_211,4,south,land,1,0,15,1,hay_meadow,4,2020,70,Jakob Huber,NA,L2_03_2020,107,107,6.957,4.08,6.067,0.476,0.161,18.111,0.331,0.759,0.271,0.501,0.345,140.109,0.248,0.191,0.486
